ID Bai Test,Trang Thai,Thoi Gian Chay
TC-001,PASSED,6.594s
TC-002,PASSED,4.439s
TC-003,PASSED,3.674s
TC-004,FAILED,6.273s
TC-005,FAILED,15.943s
TC-006,PASSED,5.790s
TC-007,PASSED,6.110s
TC-008,PASSED,7.687s
TC-009,FAILED,9.119s
TC-010,FAILED,9.540s
TC-011,PASSED,9.135s
TC-012,PASSED,7.173s
TC-013,FAILED,28.581s
TC-014,FAILED,29.988s
TC-015,FAILED,28.521s
TC-016,PASSED,9.248s
TC-017,PASSED,7.155s
TC-018,PASSED,9.502s
TC-019,PASSED,7.830s
TC-020,FAILED,8.576s
TC-021,PASSED,3.591s
TC-022,PASSED,4.714s
TC-023,PASSED,5.166s
TC-024,PASSED,6.358s
TC-025,FAILED,16.439s
TC-026,PASSED,2.046s
TC-027,PASSED,2.716s
TC-028,PASSED,9.558s
TC-029,PASSED,29.263s
TC-030,PASSED,9.479s
TC-031,FAILED,9.310s
TC-032,FAILED,11.062s
TC-033,FAILED,29.563s
TC-034,PASSED,9.498s
TC-035,PASSED,29.110s